gameid,date,game_num,blue,red,url
LOLTMNT06_121661,2025-05-25 16:00:56,2,Karmine Corp,Movistar KOI,
LOLTMNT06_121662,2025-05-25 17:02:36,3,Movistar KOI,Karmine Corp,
LOLTMNT06_120702,2025-05-25 17:58:24,4,Karmine Corp,Movistar KOI,
LOLTMNT06_121664,2025-05-25 18:55:37,5,Movistar KOI,Karmine Corp,
LOLTMNT06_120738,2025-05-26 15:09:11,1,Movistar KOI,G2 Esports,
LOLTMNT06_121704,2025-05-26 16:01:51,2,Movistar KOI,G2 Esports,
LOLTMNT06_121705,2025-05-26 17:06:57,3,Movistar KOI,G2 Esports,
LOLTMNT06_121707,2025-05-26 18:02:13,4,G2 Esports,Movistar KOI,
LOLTMNT06_122265,2025-05-31 15:08:33,1,Fnatic,GiantX,
LOLTMNT06_122266,2025-05-31 16:05:21,2,GiantX,Fnatic,
LOLTMNT06_123271,2025-05-31 16:59:13,3,GiantX,Fnatic,
LOLTMNT06_122267,2025-05-31 17:52:53,4,Fnatic,GiantX,
LOLTMNT06_122354,2025-06-01 15:08:14,1,Karmine Corp,Team Heretics,
LOLTMNT06_123341,2025-06-01 16:22:30,2,Team Heretics,Karmine Corp,
LOLTMNT06_122355,2025-06-01 17:24:12,3,Karmine Corp,Team Heretics,
LOLTMNT06_123342,2025-06-01 18:16:17,4,Team Heretics,Karmine Corp,
LOLTMNT06_122364,2025-06-02 15:08:07,1,Karmine Corp,Fnatic,
LOLTMNT06_122365,2025-06-02 16:02:53,2,Fnatic,Karmine Corp,
LOLTMNT06_122368,2025-06-02 16:50:00,3,Fnatic,Karmine Corp,
LOLTMNT06_122390,2025-06-07 15:09:59,1,Movistar KOI,Karmine Corp,
LOLTMNT06_122394,2025-06-07 16:02:13,2,Movistar KOI,Karmine Corp,
LOLTMNT06_123396,2025-06-07 17:01:12,3,Karmine Corp,Movistar KOI,
LOLTMNT06_122396,2025-06-07 17:49:22,4,Karmine Corp,Movistar KOI,
LOLTMNT06_123397,2025-06-07 18:35:43,5,Movistar KOI,Karmine Corp,
LOLTMNT06_123414,2025-06-08 15:13:24,1,G2 Esports,Movistar KOI,
LOLTMNT06_122412,2025-06-08 16:15:01,2,G2 Esports,Movistar KOI,
LOLTMNT06_123415,2025-06-08 17:13:16,3,G2 Esports,Movistar KOI,
LOLTMNT06_122413,2025-06-08 18:09:12,4,Movistar KOI,G2 Esports,
LOLTMNT05_145072,2025-08-02 15:14:26,1,Natus Vincere,Karmine Corp,
LOLTMNT05_145074,2025-08-02 16:02:43,2,Karmine Corp,Natus Vincere,
LOLTMNT05_145075,2025-08-02 16:51:45,1,Team Heretics,Fnatic,
LOLTMNT05_145081,2025-08-02 17:43:46,2,Team Heretics,Fnatic,
LOLTMNT05_146099,2025-08-02 18:30:16,3,Fnatic,Team Heretics,
LOLTMNT05_146142,2025-08-03 15:09:00,1,Team BDS,SK Gaming,
LOLTMNT05_146144,2025-08-03 16:08:24,2,SK Gaming,Team BDS,
LOLTMNT05_146146,2025-08-03 17:01:36,1,GiantX,Karmine Corp,
LOLTMNT05_146151,2025-08-03 17:59:10,2,GiantX,Karmine Corp,
LOLTMNT05_146152,2025-08-03 18:50:16,3,Karmine Corp,GiantX,
