tournament,startTime,match_id,esports_game_id,game_num,team_a_code,team_a_name,team_b_code,team_b_name,state,has_vods
lec_spring_2025,2025-05-05T17:00:00Z,113487475359325321,113487475359325324,3,MKOI,Movistar KOI,SK,SK Gaming,,0
lec_spring_2025,2025-05-10T15:00:00Z,113487475359325333,113487475359325334,1,SK,SK Gaming,G2,G2 Esports,,1
lec_spring_2025,2025-05-10T15:00:00Z,113487475359325333,113487475359325335,2,SK,SK Gaming,G2,G2 Esports,,1
lec_spring_2025,2025-05-10T15:00:00Z,113487475359325333,113487475359325336,3,SK,SK Gaming,G2,G2 Esports,,0
lec_spring_2025,2025-05-10T17:00:00Z,113487475359325269,113487475359325270,1,VIT,Team Vitality,KC,Karmine Corp,,1
lec_spring_2025,2025-05-10T17:00:00Z,113487475359325269,113487475359325271,2,VIT,Team Vitality,KC,Karmine Corp,,1
lec_spring_2025,2025-05-10T17:00:00Z,113487475359325269,113487475359325272,3,VIT,Team Vitality,KC,Karmine Corp,,1
lec_spring_2025,2025-05-11T15:00:00Z,113487475359325257,113487475359325258,1,SK,SK Gaming,VIT,Team Vitality,,1
lec_spring_2025,2025-05-11T15:00:00Z,113487475359325257,113487475359325259,2,SK,SK Gaming,VIT,Team Vitality,,1
lec_spring_2025,2025-05-11T15:00:00Z,113487475359325257,113487475359325260,3,SK,SK Gaming,VIT,Team Vitality,,0
lec_spring_2025,2025-05-11T17:00:00Z,113487475359325357,113487475359325358,1,G2,G2 Esports,KC,Karmine Corp,,1
lec_spring_2025,2025-05-11T17:00:00Z,113487475359325357,113487475359325359,2,G2,G2 Esports,KC,Karmine Corp,,1
lec_spring_2025,2025-05-11T17:00:00Z,113487475359325357,113487475359325360,3,G2,G2 Esports,KC,Karmine Corp,,1
lec_spring_2025,2025-05-12T15:00:00Z,113487475359259657,113487475359259658,1,TH,Team Heretics,GX,GIANTX,,1
lec_spring_2025,2025-05-12T15:00:00Z,113487475359259657,113487475359259659,2,TH,Team Heretics,GX,GIANTX,,1
lec_spring_2025,2025-05-12T15:00:00Z,113487475359259657,113487475359259660,3,TH,Team Heretics,GX,GIANTX,,0
lec_spring_2025,2025-05-12T17:00:00Z,113487475359325233,113487475359325234,1,RGE,Rogue,MKOI,Movistar KOI,,1
lec_spring_2025,2025-05-12T17:00:00Z,113487475359325233,113487475359325235,2,RGE,Rogue,MKOI,Movistar KOI,,1
lec_spring_2025,2025-05-12T17:00:00Z,113487475359325233,113487475359325236,3,RGE,Rogue,MKOI,Movistar KOI,,0
lec_spring_2025,2025-05-13T18:00:00Z,114499885041404289,114499885041404290,1,TH,Team Heretics,VIT,Team Vitality,,1
lec_spring_2025,2025-05-24T15:00:00Z,113487475359325367,113487475359325368,1,FNC,Fnatic,G2,G2 Esports,,1
lec_spring_2025,2025-05-24T15:00:00Z,113487475359325367,113487475359325369,2,FNC,Fnatic,G2,G2 Esports,,1
lec_spring_2025,2025-05-24T15:00:00Z,113487475359325367,113487475359325370,3,FNC,Fnatic,G2,G2 Esports,,1
lec_spring_2025,2025-05-24T15:00:00Z,113487475359325367,113487475359325371,4,FNC,Fnatic,G2,G2 Esports,,1
lec_spring_2025,2025-05-24T15:00:00Z,113487475359325367,113487475359325372,5,FNC,Fnatic,G2,G2 Esports,,0
