gameid,date,game_num,blue,red,url
LOLTMNT03_251392,2025-05-29 09:05:43,2,HANJIN BRION,DRX,
LOLTMNT03_250553,2025-05-29 10:13:03,3,DRX,HANJIN BRION,
LOLTMNT03_251520,2025-05-29 11:54:37,1,KT Rolster,Gen.G,
LOLTMNT03_251552,2025-05-29 12:41:11,2,KT Rolster,Gen.G,
LOLTMNT03_250721,2025-05-29 13:33:57,3,Gen.G,KT Rolster,
LOLTMNT03_251983,2025-05-30 08:06:20,1,Nongshim RedForce,T1,
LOLTMNT03_251998,2025-05-30 08:56:17,2,T1,Nongshim RedForce,
LOLTMNT03_253051,2025-05-30 10:17:54,1,Dplus Kia,DN SOOPers,
LOLTMNT03_252111,2025-05-30 11:22:37,2,DN SOOPers,Dplus Kia,
LOLTMNT03_252143,2025-05-30 12:17:09,3,Dplus Kia,DN SOOPers,
LOLTMNT03_253463,2025-05-31 06:05:53,1,KT Rolster,DRX,
LOLTMNT03_252517,2025-05-31 06:59:05,2,DRX,KT Rolster,
LOLTMNT03_252540,2025-05-31 08:16:20,1,HANJIN BRION,Gen.G,
LOLTMNT03_253497,2025-05-31 09:12:30,2,HANJIN BRION,Gen.G,
