gameid,date,game_num,blue,red,url
LOLTMNT04_127260,2025-07-30 18:21:03,3,Gentle Mates,Vitality.Bee,
LOLTMNT04_125514,2025-07-30 19:22:08,1,Ici Japon Corp. Esport,Karmine Corp Blue,
LOLTMNT04_127266,2025-07-30 20:13:53,2,Ici Japon Corp. Esport,Karmine Corp Blue,
LOLTMNT04_125561,2025-07-31 16:06:23,1,BK ROG Esports,GameWard,
LOLTMNT04_125559,2025-07-31 16:09:39,1,Vitality.Bee,Ici Japon Corp. Esport,
LOLTMNT04_127333,2025-07-31 16:58:45,2,GameWard,BK ROG Esports,
LOLTMNT04_125571,2025-07-31 17:10:13,2,Vitality.Bee,Ici Japon Corp. Esport,
LOLTMNT04_127338,2025-07-31 17:51:56,3,BK ROG Esports,GameWard,
LOLTMNT04_127339,2025-07-31 18:01:27,3,Ici Japon Corp. Esport,Vitality.Bee,
LOLTMNT04_127346,2025-07-31 18:41:42,1,Galions,Team BDS Academy,
LOLTMNT04_125584,2025-07-31 19:14:57,1,Joblife,Solary,
LOLTMNT04_125586,2025-07-31 19:52:47,2,Team BDS Academy,Galions,
LOLTMNT04_125587,2025-07-31 20:25:07,2,Joblife,Solary,
LOLTMNT04_125634,2025-08-01 16:06:03,1,BK ROG Esports,Solary,
LOLTMNT04_125650,2025-08-01 17:04:20,2,BK ROG Esports,Solary,
LOLTMNT04_127409,2025-08-01 18:15:54,1,Gentle Mates,Galions,
LOLTMNT04_127412,2025-08-01 19:13:25,2,Gentle Mates,Galions,
LOLTMNT05_146435,2025-08-06 16:07:47,1,Galions,BK ROG Esports,
LOLTMNT05_145443,2025-08-06 17:06:07,2,BK ROG Esports,Galions,
LOLTMNT05_146450,2025-08-06 18:10:35,1,Joblife,Ici Japon Corp. Esport,
LOLTMNT05_145452,2025-08-06 18:59:49,2,Joblife,Ici Japon Corp. Esport,
LOLTMNT05_145454,2025-08-06 19:56:43,3,Ici Japon Corp. Esport,Joblife,
LOLTMNT05_145520,2025-08-07 16:06:36,1,Solary,Ici Japon Corp. Esport,
LOLTMNT05_146515,2025-08-07 16:08:40,1,Vitality.Bee,Team BDS Academy,
LOLTMNT05_145527,2025-08-07 16:56:42,2,Solary,Ici Japon Corp. Esport,
LOLTMNT05_145529,2025-08-07 16:59:34,2,Vitality.Bee,Team BDS Academy,
LOLTMNT05_146545,2025-08-07 17:49:39,3,Team BDS Academy,Vitality.Bee,
LOLTMNT02_296141,2025-08-07 18:00:25,1,Karmine Corp Blue,Gentle Mates,
LOLTMNT05_145544,2025-08-07 18:46:21,1,Galions,GameWard,
LOLTMNT02_297130,2025-08-07 18:59:26,2,Gentle Mates,Karmine Corp Blue,
LOLTMNT02_296190,2025-08-07 19:55:19,3,Karmine Corp Blue,Gentle Mates,
LOLTMNT05_146559,2025-08-07 20:00:35,2,Galions,GameWard,
LOLTMNT05_146561,2025-08-07 20:50:17,3,GameWard,Galions,
LOLTMNT05_146619,2025-08-08 16:06:20,1,GameWard,Vitality.Bee,
LOLTMNT05_145619,2025-08-08 16:59:55,2,Vitality.Bee,GameWard,
LOLTMNT05_146631,2025-08-08 17:52:03,3,Vitality.Bee,GameWard,
LOLTMNT05_145625,2025-08-08 18:53:03,1,Joblife,Gentle Mates,
